chr	strand	gene
chr19	+	DHX34
chr19	-	MEIS3
chr19	-	SLC8A2
chr19	-	KPTN
chr19	-	NAPA
chr19	-	ZNF541
chr19	+	BICRA
chr19	+	EHD2
chr19	+	NOP53
chr19	+	SELENOW
chr19	-	TPRX1
chr19	+	CRX
chr19	-	SULT2A1
chr19	-	BSPH1
chr19	+	ELSPBP1
chr19	-	CABP5+PLA2G4C
chr19	-	LIG1
chr19	+	ZSWIM9
chr19	-	CARD8
chr19	+	ZNF114
chr19	-	CCDC114
chr19	+	EMP3
chr19	-	TMEM143
chr19	+	SYNGR4
chr19	-	KDELR1
chr19	+	GRIN2D
chr19	+	GRWD1+KCNJ14
chr19	+	CYTH2
chr19	-	LMTK3
chr19	+	SULT2B1
chr19	-	FAM83E
chr19	+	SPACA4
chr19	-	RPL18
chr19	+	SPHK2
chr19	-	DBP
chr19	-	CA11
chr19	-	NTN5
chr19	+	FUT2
chr19	-	MAMSTR
chr19	-	RASIP1
chr19	-	IZUMO1
chr19	-	FUT1
chr19	+	FGF21
chr19	-	BCAT2
chr19	-	HSD17B14
chr19	-	PLEKHA4
chr19	+	PPP1R15A
chr19	-	TULP2
chr19	+	NUCB1
chr19	+	DHDH
chr19	+	BAX
chr19	+	FTL
chr19	-	GYS1
chr19	+	RUVBL2
chr19	-	LHB
chr19	-	CGB3
chr19	+	CGB2
chr19	-	CGB1
chr19	+	CGB5
chr19	-	CGB8
chr19	-	CGB7
chr19	-	NTF4
chr19	-	KCNA7
chr19	+	SNRNP70
chr19	+	LIN7B
chr19	-	C19orf73
chr19	+	PPFIA3
chr19	-	HRC
chr19	+	TRPM4
chr19	-	SLC6A16
chr19	+	CD37
chr19	-	TEAD2
chr19	+	DKKL1
chr19	+	KASH5
chr19	-	PTH2
chr19	+	GFY
chr19	-	SLC17A7
chr19	-	PIH1D1
chr19	+	ALDH16A1
chr19	+	FLT3LG
chr19	+	RPL13A
chr19	+	RPS11
chr19	+	FCGRT
chr19	+	RCN3
chr19	-	NOSIP
chr19	+	PRRG2
chr19	+	PRR12
chr19	-	RRAS
chr19	+	SCAF1
chr19	-	IRF3
chr19	+	BCL2L12
chr19	+	PRMT1
chr19	+	CPT1C+ADM5
chr19	-	TSKS
chr19	+	AP2A1
chr19	-	FUZ
chr19	+	MED25
chr19	+	PTOV1
chr19	-	PNKP
chr19	-	AKT1S1
chr19	+	TBC1D17
chr19	-	NUP62+IL4I1
chr19	+	ATF5
chr19	-	SIGLEC11
chr19	+	SIGLEC16
chr19	-	VRK3
chr19	+	ZNF473
chr19	-	IZUMO2
chr19	+	MYH14
chr19	-	KCNC3
chr19	-	NAPSA
chr19	+	NR1H2
chr19	+	POLD1
chr19	+	SPIB
chr19	+	MYBPC2
chr19	-	FAM71E1
chr19	+	EMC10
chr19	-	JOSD2
chr19	-	ASPDH
chr19	-	LRRC4B
chr19	-	SYT3
chr19	+	C19orf81
chr19	-	SHANK1
chr19	+	CLEC11A
chr19	+	GPR32
chr19	-	LOC105372440
chr19	+	ACP4
chr19	-	C19orf48
chr19	-	KLK1
chr19	-	KLK15
chr19	+	KLK3
chr19	+	KLK2
chr19	-	KLK4
chr19	-	KLK5
chr19	-	KLK6
chr19	-	KLK7
chr19	-	KLK8
chr19	-	KLK9
chr19	-	KLK10
chr19	-	KLK11
chr19	-	KLK12
chr19	-	KLK13
chr19	-	KLK14
chr19	-	CTU1
chr19	+	SIGLEC9
chr19	+	SIGLEC7
chr19	+	CD33
chr19	+	SIGLECL1
chr19	+	IGLON5
chr19	-	VSIG10L
chr19	-	ETFB
chr19	-	CLDND2
chr19	-	NKG7
chr19	-	LIM2
chr19	-	C19orf84
chr19	-	SIGLEC10
chr19	-	SIGLEC8
chr19	+	CEACAM18
chr19	-	SIGLEC12
chr19	-	SIGLEC6
chr19	+	ZNF175
chr19	-	SIGLEC5
chr19	-	SIGLEC14
chr19	+	SPACA6
chr19	-	HAS1
chr19	-	FPR1
chr19	+	FPR2
chr19	+	FPR3
chr19	-	ZNF577
chr19	-	ZNF649
chr19	+	ZNF613
chr19	-	ZNF350
chr19	-	ZNF615
chr19	-	ZNF614
chr19	-	ZNF432
chr19	-	ZNF841
chr19	-	ZNF616
chr19	-	ZNF836
chr19	+	PPP2R1A
chr19	+	ZNF766
chr19	+	ZNF480
chr19	+	ZNF610
chr19	+	ZNF528+ZNF880
chr19	+	ZNF534
chr19	+	ZNF578+ZNF808
chr19	+	ZNF701
chr19	-	ZNF83
chr19	-	ZNF611
chr19	-	ZNF600
chr19	-	ZNF28
chr19	-	ZNF468
chr19	-	ZNF320
chr19	-	ZNF888+ZNF816+ZNF816-ZNF321P
chr19	+	ERVV-1
chr19	+	ERVV-2
chr19	-	ZNF160
chr19	-	ZNF415
chr19	-	ZNF347
chr19	-	ZNF665
chr19	-	ZNF677
chr19	+	VN1R2
chr19	-	VN1R4
chr19	+	ZNF845
chr19	+	ZNF525
chr19	+	ZNF765+ZNF761+ZNF765-ZNF761
chr19	+	ZNF813
chr19	+	ZNF331
chr19	+	DPRX
chr19	-	NLRP12
chr19	+	MYADM
chr19	+	PRKCG
chr19	+	CACNG7
chr19	+	CACNG8
chr19	+	CACNG6
chr19	-	VSTM1
chr19	-	TARM1
chr19	-	OSCAR
chr19	+	NDUFA3
chr19	-	TFPT
chr19	+	PRPF31
chr19	+	CNOT3
chr19	-	LENG1
chr19	-	TMC4
chr19	-	MBOAT7
chr19	+	TSEN34
chr19	+	RPS9
chr19	-	LILRB3
chr19	-	LILRA6
chr19	-	LILRB5
chr19	-	LILRB2
chr19	-	LILRA5
chr19	-	LILRA4
chr19	-	LAIR1
chr19	+	TTYH1
chr19	+	LENG8
chr19	-	LENG9
chr19	-	CDC42EP5
chr19	+	LAIR2
chr19	+	LILRA2
chr19	+	LILRA1
chr19	+	LILRB1
chr19	+	LILRB4
chr19	+	KIR3DL3
chr19	+	KIR2DL3
chr19	+	KIR2DL1
chr19	+	KIR2DL4
chr19	+	KIR3DL1
chr19	+	KIR2DS4
chr19	+	KIR3DL2
chr19	+	FCAR
chr19	+	NCR1
chr19	-	NLRP7
chr19	+	NLRP2
chr19	-	GP6
chr19	-	RDH13
chr19	+	EPS8L1
chr19	-	PPP1R12C
chr19	-	TNNT1
chr19	-	TNNI3
chr19	-	DNAAF3
chr19	-	SYT5
chr19	-	PTPRH
chr19	-	TMEM86B
chr19	-	PPP6R1
chr19	-	HSPBP1
chr19	+	BRSK1
chr19	-	TMEM150B
chr19	+	KMT5C
chr19	-	COX6B2
chr19	-	FAM71E2
chr19	-	IL11
chr19	+	TMEM190
chr19	-	TMEM238
chr19	+	RPL28
chr19	-	UBE2S
chr19	-	SHISA7
chr19	-	ISOC2
chr19	+	ZNF628
chr19	+	NAT14
chr19	+	SSC5D
chr19	-	SBK2
chr19	-	SBK3
chr19	-	ZNF579
chr19	-	FIZ1
chr19	+	ZNF524
chr19	+	ZNF865
chr19	-	ZNF784
chr19	+	LOC107983998+ZNF581
chr19	+	ZNF580
chr19	+	CCDC106
chr19	+	U2AF2
chr19	+	EPN1
chr19	-	NLRP9
chr19	+	RFPL4A
chr19	+	RFPL4AL1
chr19	-	NLRP11
chr19	+	NLRP4
chr19	-	NLRP13
chr19	+	NLRP8
chr19	+	NLRP5
chr19	-	ZNF787
chr19	+	ZNF444
chr19	+	GALP
chr19	-	ZSCAN5B
chr19	+	ZSCAN5C
chr19	-	ZSCAN5A
chr19	+	EDDM13
chr19	-	ZNF582
chr19	+	ZNF583
chr19	-	ZNF667
chr19	+	ZNF471
chr19	+	ZFP28
chr19	+	ZNF470
chr19	+	ZNF71
chr19	+	SMIM17
chr19	-	ZNF835
chr19	-	ZIM2+PEG3
chr19	+	USP29
chr19	-	ZIM3
chr19	-	DUXA
chr19	+	ZNF264
chr19	+	AURKC
chr19	+	ZNF805
chr19	+	ZNF460
chr19	+	ZNF543
chr19	+	ZNF304
chr19	+	TRAPPC2B+ZNF547
chr19	+	ZNF548
chr19	+	ZNF17
chr19	+	ZNF749
chr19	-	VN1R1
chr19	-	ZNF772
chr19	+	ZNF419
chr19	+	ZNF773
chr19	+	ZNF549
chr19	-	ZNF550
chr19	-	ZNF416
chr19	+	ZIK1
chr19	+	ZNF530
chr19	+	ZNF134
chr19	+	ZNF211
chr19	+	ZSCAN4
chr19	+	ZNF551
chr19	-	ZNF154
chr19	-	ZNF671
chr19	+	ZNF776
chr19	+	ZNF586
chr19	-	ZNF552
chr19	+	ZNF587B
chr19	+	ZNF587
chr19	-	ZNF814
chr19	-	ZNF417
chr19	-	ZNF418
chr19	-	ZNF256
chr19	-	C19orf18
chr19	-	ZNF606
chr19	-	LOC105372478
chr19	+	ZSCAN1
chr19	+	ZNF135
chr19	-	ZSCAN18
chr19	-	ZNF329
chr19	+	ZNF274
chr19	+	ZNF544
chr19	+	ZNF8
chr19	+	ZSCAN22
chr19	-	A1BG
chr19	-	ZNF497
chr19	-	ZNF837
chr19	+	RPS5
chr19	+	RNF225
chr19	+	ZNF584
chr19	-	ZNF132
chr19	+	ZNF324B
chr19	+	ZNF324
chr19	+	ZNF446
chr19	-	SLC27A5
chr19	-	ZBTB45
chr19	+	TRIM28
chr19	-	CHMP2A
chr19	-	UBE2M
chr19	-	MZF1
chr2	-	FAM110C
chr2	-	SH3YL1
chr2	+	ACP1
chr2	-	ALKAL2
chr2	-	TMEM18
chr2	+	LOC105373392
chr2	+	SNTG2
chr2	+	TPO
chr2	-	PXDN
chr2	-	MYT1L
chr2	-	EIPR1
chr2	+	TRAPPC12
chr2	-	ADI1
chr2	-	RNASEH1
chr2	+	RPS7
chr2	+	COLEC11
chr2	+	ALLC
chr2	+	DCDC2C
chr2	+	LOC105373395
chr2	+	SOX11
chr2	-	CMPK2
chr2	+	RSAD2
chr2	+	RNF144A
chr2	+	ID2
chr2	-	KIDINS220
chr2	-	MBOAT2
chr2	+	ASAP2
chr2	-	ITGB1BP1
chr2	+	CPSF3
chr2	+	IAH1
chr2	-	ADAM17
chr2	-	YWHAQ
chr2	+	TAF1B
chr2	+	GRHL1
chr2	+	KLF11
chr2	-	CYS1
chr2	+	RRM2
chr2	+	HPCAL1
chr2	-	ODC1
chr2	-	NOL10
chr2	+	ATP6V1C2
chr2	-	PDIA6
chr2	+	KCNF1
chr2	+	C2orf50
chr2	+	SLC66A3
chr2	-	ROCK2
chr2	-	E2F6
chr2	+	GREB1
chr2	-	NTSR2
chr2	+	LPIN1
chr2	+	TRIB2
chr2	+	LRATD1
chr2	-	NBAS
chr2	+	DDX1
chr2	+	MYCN
chr2	-	CYRIA
chr2	-	RAD51AP2
chr2	+	VSNL1
chr2	-	SMC6
chr2	+	GEN1
chr2	+	MSGN1
chr2	+	KCNS3
chr2	-	RDH14+NT5C1B-RDH14+NT5C1B
chr2	-	OSR1
chr2	-	TTC32
chr2	-	WDR35
chr2	-	MATN3
chr2	-	LAPTM4A
chr2	-	SDC1
chr2	-	PUM2
chr2	+	RHOB
chr2	-	HS1BP3
chr2	+	GDF7
chr2	-	LDAH
chr2	-	APOB
chr2	+	TDRD15
chr2	-	LOC107985792
chr2	+	KLHL29
chr2	-	ATAD2B
chr2	+	UBXN2A
chr2	+	MFSD2B
chr2	-	WDCP
chr2	+	FKBP1B
chr2	-	SF3B6
chr2	+	FAM228B
chr2	-	TP53I3
chr2	-	PFN4
chr2	+	FAM228A
chr2	-	ITSN2
chr2	+	NCOA1
chr2	-	PTRHD1
chr2	+	CENPO
chr2	-	ADCY3
chr2	-	DNAJC27
chr2	+	EFR3B
chr2	-	POMC
chr2	-	DNMT3A
chr2	-	DTNB
chr2	-	ASXL2
chr2	-	KIF3C
chr2	+	RAB10
chr2	+	GAREM2
chr2	-	HADHA
chr2	+	HADHB
chr2	-	ADGRF3
chr2	+	SELENOI
chr2	+	DRC1
chr2	-	OTOF
chr2	+	FAM166C
chr2	-	CIB4
chr2	+	KCNK3
chr2	+	SLC35F6
chr2	+	CENPA
chr2	+	DPYSL5
chr2	+	MAPRE3
chr2	+	TMEM214
chr2	+	AGBL5
chr2	-	OST4
chr2	+	EMILIN1
chr2	+	KHK
chr2	-	CGREF1
chr2	+	ABHD1
chr2	-	PREB
chr2	-	PRR30
chr2	+	TCF23
chr2	-	SLC5A6
chr2	+	ATRAID
chr2	+	CAD
chr2	-	SLC30A3
chr2	+	DNAJC5G
chr2	+	TRIM54
chr2	-	UCN
chr2	-	MPV17
chr2	-	GTF3C2
chr2	-	EIF2B4
chr2	+	SNX17
chr2	-	ZNF513
chr2	-	PPM1G
chr2	+	NRBP1
chr2	+	KRTCAP3
chr2	-	IFT172
chr2	-	FNDC4
chr2	+	GCKR
chr2	+	C2orf16
chr2	+	ZNF512
chr2	-	CCDC121
chr2	+	GPN1
chr2	-	SUPT7L
chr2	+	SLC4A1AP
chr2	+	MRPL33
chr2	-	RBKS
chr2	+	BABAM2
chr2	+	FOSL2
chr2	+	PLB1
chr2	+	PPP1CB
chr2	+	SPDYA
chr2	-	TRMT61B
chr2	+	WDR43
chr2	+	TOGARAM2
chr2	-	PCARE
chr2	+	CLIP4
chr2	-	ALK
chr2	+	YPEL5
chr2	+	LBH
chr2	+	LCLAT1
chr2	-	CAPN13
chr2	-	GALNT14
chr2	-	CAPN14
chr2	+	EHD3
chr2	-	XDH
chr2	-	SRD5A2
chr2	-	MEMO1
chr2	-	DPY30
chr2	+	SPAST
chr2	+	SLC30A6
chr2	-	NLRC4
chr2	+	YIPF4
chr2	+	BIRC6
chr2	+	TTC27
chr2	+	LTBP1
chr2	+	RASGRP3
chr2	-	FAM98A
chr2	+	CRIM1
chr2	-	FEZ2
chr2	+	VIT
chr2	-	STRN
chr2	-	HEATR5B
chr2	+	GPATCH11
chr2	-	EIF2AK2
chr2	-	SULT6B1
chr2	+	CEBPZOS
chr2	-	CEBPZ
chr2	+	NDUFAF7
chr2	-	PRKD3
chr2	+	QPCT
chr2	-	CDC42EP3
chr2	+	RMDN2
chr2	-	CYP1B1
chr2	-	ATL2
chr2	-	HNRNPLL
chr2	+	GALM
chr2	-	SRSF7
chr2	+	GEMIN6
chr2	-	DHX57
chr2	+	MORN2
chr2	+	ARHGEF33
chr2	-	SOS1
chr2	-	CDKL4
chr2	-	MAP4K3
chr2	+	TMEM178A
chr2	-	THUMPD2
chr2	-	SLC8A1
chr2	+	PKDCC
chr2	+	EML4
chr2	-	COX7A2L
chr2	-	KCNG3
chr2	+	MTA3
chr2	-	OXER1
chr2	-	HAAO
chr2	-	LOC107985876
chr2	-	ZFP36L2
chr2	-	THADA
chr2	+	PLEKHH2
chr2	-	C1GALT1C1L
chr2	+	DYNC2LI1
chr2	-	ABCG5
chr2	+	ABCG8
chr2	-	LRPPRC
chr2	+	PPM1B
chr2	+	SLC3A1
chr2	-	PREPL
chr2	+	CAMKMT
chr2	+	SIX3
chr2	-	SIX2
chr2	-	SRBD1
chr2	-	LOC102724965
chr2	+	PRKCE
chr2	+	EPAS1
chr2	+	TMEM247
chr2	-	ATP6V1E2
chr2	+	RHOQ
chr2	-	PIGF
chr2	+	CRIPT
chr2	+	SOCS5
chr2	-	MCFD2
chr2	+	TTC7A
chr2	-	STPG4
chr2	-	CALM2
chr2	+	EPCAM
chr2	+	MSH2
chr2	-	KCNK12
chr2	+	MSH6
chr2	-	FBXO11
chr2	+	FOXN2
chr2	+	PPP1R21
chr2	+	STON1+GTF2A1L+STON1-GTF2A1L
chr2	-	LHCGR
chr2	-	FSHR
chr2	-	NRXN1
chr2	-	ASB3+GPR75+GPR75-ASB3
chr2	+	CHAC2
chr2	+	ERLEC1
chr2	-	PSME4
chr2	+	ACYP2
chr2	-	TSPYL6
chr2	+	C2orf73
chr2	+	SPTBN1
chr2	+	EML6
chr2	-	RTN4
chr2	-	CLHC1
chr2	+	RPS27A
chr2	-	MTIF2
chr2	-	CCDC88A
chr2	+	CFAP36
chr2	-	PPP4R3B
chr2	-	PNPT1
chr2	-	EFEMP1
chr2	+	LOC107985795+CCDC85A
chr2	+	VRK2
chr2	-	LOC107984043
chr2	-	FANCL
chr2	-	BCL11A
chr2	+	PAPOLG
chr2	+	REL
chr2	-	PUS10
chr2	+	PEX13
chr2	+	KIAA1841
chr2	+	C2orf74
chr2	-	USP34
chr2	-	XPO1
chr2	-	FAM161A
chr2	-	CCT4
chr2	+	COMMD1
chr2	+	B3GNT2
chr2	-	TMEM17
chr2	+	EHBP1
chr2	+	OTX1
chr2	-	WDPCP
chr2	+	MDH1
chr2	+	UGP2
chr2	-	VPS54
chr2	-	PELI1
chr2	+	LGALSL
chr2	+	AFTPH
chr2	-	SERTAD2
chr2	+	SLC1A4
chr2	+	CEP68
chr2	-	RAB1A
chr2	+	ACTR2
chr2	-	SPRED2
chr2	+	MEIS1
chr2	+	ETAA1
chr2	-	C1D
chr2	-	WDR92
chr2	+	PNO1
chr2	-	PPP3R1
chr2	-	CNRIP1
chr2	+	PLEK
chr2	-	FBXO48
chr2	+	APLF
chr2	+	PROKR1
chr2	+	ARHGAP25
chr2	-	BMP10
chr2	-	GKN2
chr2	+	GKN1
chr2	+	ANTXR1
chr2	-	GFPT1
chr2	-	NFU1
chr2	-	LOC112268437+AAK1
chr2	+	ANXA4
chr2	+	GMCL1
chr2	+	SNRNP27
chr2	+	MXD1
chr2	-	ASPRV1
chr2	+	PCBP1
chr2	-	C2orf42
chr2	-	TIA1
chr2	+	PCYOX1
chr2	-	SNRPG
chr2	-	FAM136A
chr2	-	TGFA
chr2	-	ADD2
chr2	-	FIGLA
chr2	-	CLEC4F
chr2	-	CD207
chr2	+	VAX2
chr2	+	ATP6V1B1
chr2	+	ANKRD53
chr2	-	TEX261
chr2	+	NAGK
chr2	-	MCEE
chr2	+	MPHOSPH10
chr2	-	PAIP2B
chr2	+	ZNF638
chr2	+	DYSF
chr2	-	LOC107985896
chr2	-	CYP26B1
chr2	-	EXOC6B
chr2	+	SPR
chr2	+	EMX1
chr2	-	SFXN5
chr2	-	RAB11FIP5
chr2	+	NOTO
chr2	+	SMYD5
chr2	-	PRADC1
chr2	+	CCT7
chr2	-	FBXO41
chr2	-	EGR4
chr2	+	ALMS1
chr2	-	NAT8
chr2	-	TPRKB
chr2	-	DUSP11
chr2	+	C2orf78
chr2	+	STAMBP
chr2	+	ACTG2
chr2	+	DGUOK
chr2	+	TET3
chr2	-	BOLA3
chr2	-	MOB1A
chr2	+	MTHFD2
chr2	-	SLC4A5
chr2	-	DCTN1
chr2	-	C2orf81
chr2	+	WDR54
chr2	-	RTKN
chr2	+	INO80B
chr2	+	WBP1
chr2	-	MOGS
chr2	-	MRPL53
chr2	-	CCDC142
chr2	+	TTC31
chr2	-	LBX2
chr2	-	PCGF1
chr2	+	TLX2
chr2	-	DQX1
chr2	-	AUP1
chr2	+	HTRA2
chr2	-	LOXL3
chr2	+	DOK1
chr2	-	M1AP
chr2	+	SEMA4F
chr2	+	HK2
chr2	+	POLE4
chr2	-	TACR1
chr2	-	EVA1A
chr2	+	MRPL19
chr2	-	GCFC2
chr2	-	LRRTM4
chr2	+	REG3G
chr2	-	REG1B
chr2	+	REG1A
chr2	-	REG3A
chr2	+	CTNNA2
chr2	-	LRRTM1
chr2	-	SUCLG1
chr2	+	DNAH6
chr2	-	TRABD2A
chr2	+	TMSB10
chr2	+	KCMF1
chr2	+	TCF7L1
chr2	-	TGOLN2
chr2	-	RETSAT
chr2	+	ELMOD3
chr2	-	CAPG
chr2	+	SH2D6
chr2	+	MAT2A
chr2	-	GGCX
chr2	+	VAMP8
chr2	+	VAMP5
chr2	+	RNF181
chr2	-	TMEM150A
chr2	+	USP39
chr2	-	C2orf68
chr2	-	SFTPB
chr2	+	GNLY
chr2	+	ATOH8
chr2	-	ST3GAL5
chr2	-	POLR1A
chr2	+	PTCD3
chr2	-	IMMT
chr2	+	MRPL35
chr2	-	REEP1
chr2	+	KDM3A
chr2	-	CHMP3+RNF103+RNF103-CHMP3
chr2	+	RMND5A
chr2	-	CD8A
chr2	-	CD8B
chr2	+	RGPD1
chr2	-	PLGLB1
chr2	+	LOC102724642
chr2	+	PLGLB2
chr2	-	RGPD2
chr2	-	KRCC1
chr2	+	SMYD1
chr2	-	FABP1
chr2	+	THNSL2
chr2	-	FOXI3
chr2	+	TEX37
chr2	-	EIF2AK3
chr2	+	RPIA
chr2	-	LOC107985798
chr2	+	LOC100509620
chr2	+	TEKT4
chr2	+	MAL
chr2	-	MRPS5
chr2	-	ZNF514
chr2	+	ZNF2
chr2	+	PROM2
chr2	+	KCNIP3
chr2	+	FAHD2A
chr2	-	TRIM43B
chr2	+	TRIM43
chr2	-	ANKRD36C
chr2	-	GPAT2
chr2	-	ADRA2B
chr2	-	ASTL
chr2	-	DUSP2
chr2	-	STARD7
chr2	-	TMEM127
chr2	+	CIAO1
chr2	-	SNRNP200
chr2	+	ITPRIPL1
chr2	+	NCAPH
chr2	-	NEURL3
chr2	+	ARID5A
chr2	-	KANSL3
chr2	+	FER1L5
chr2	-	LMAN2L
chr2	+	CNNM4
chr2	+	CNNM3
chr2	-	ANKRD23
chr2	-	ANKRD39
chr2	-	SEMA4C
chr2	-	FAM178B
chr2	-	FAHD2B
chr2	+	ANKRD36
chr2	-	ANKRD36B
chr2	+	COX5B
chr2	-	ACTR1B
chr2	+	C2orf92
chr2	+	ZAP70
chr2	-	TMEM131
chr2	+	VWA3B
chr2	+	CNGA3
chr2	+	INPP4A
chr2	-	COA5
chr2	+	UNC50
chr2	-	MGAT4A
chr2	-	CRACDL
chr2	-	TSGA10
chr2	+	C2orf15
chr2	+	LIPT1
chr2	-	MITD1
chr2	+	MRPL30
chr2	-	LYG2
chr2	-	LYG1
chr2	-	TXNDC9
chr2	+	EIF5B
chr2	-	REV1
chr2	-	AFF3
chr2	-	LONRF2
chr2	-	CHST10
chr2	+	NMS
chr2	+	PDCL3
chr2	+	NPAS2
chr2	+	RPL31
chr2	-	TBC1D8
chr2	+	CNOT11
chr2	-	RNF149
chr2	-	CREG2
chr2	-	RFX8
chr2	+	MAP4K4
chr2	+	IL1R2
chr2	+	IL1R1
chr2	+	IL1RL2
chr2	+	IL1RL1
chr2	+	IL18R1
chr2	+	IL18RAP
chr2	+	SLC9A4
chr2	+	SLC9A2
chr2	-	MFSD9
chr2	+	TMEM182
chr2	+	POU3F3
chr2	+	MRPS9
chr2	+	GPR45
chr2	-	TGFBRAP1
chr2	+	C2orf49
chr2	-	FHL2
chr2	+	NCK2
chr2	+	ECRG4
chr2	-	UXS1
chr2	-	RGPD3
chr2	-	LOC107985931
chr2	+	CD8B2
chr2	-	ST6GAL2
chr2	+	RGPD4
chr2	+	SLC5A7
chr2	+	SULT1C3
chr2	+	SULT1C2
chr2	+	SULT1C4
chr2	+	GCC2
chr2	+	LIMS1
chr2	+	RANBP2
chr2	+	CCDC138
chr2	-	EDAR
chr2	+	SH3RF3
chr2	-	LOC107985773
chr2	-	SEPTIN10
chr2	+	SOWAHC
chr2	+	RGPD5
chr2	+	LIMS3
chr2	-	LOC105373985
chr2	-	MALL
chr2	-	NPHP1
chr2	-	MTLN
chr2	+	LOC105375809
chr2	-	LIMS4
chr2	-	RGPD6
chr2	-	BUB1
chr2	+	ACOXL
chr2	+	BCL2L11
chr2	-	ANAPC1
chr2	+	MERTK
chr2	+	TMEM87B
chr2	+	FBLN7
chr2	-	ZC3H8
chr2	+	ZC3H6
chr2	-	RGPD8
chr2	+	TTL
chr2	+	POLR1B
chr2	+	CHCHD5
chr2	+	SLC20A1
chr2	+	NT5DC4
chr2	-	CKAP2L
chr2	-	IL1A
chr2	-	IL1B
chr2	+	IL37
chr2	+	IL36G
chr2	+	IL36A
chr2	-	IL36B
chr2	+	IL36RN
chr2	+	IL1F10
chr2	+	IL1RN
chr2	+	PSD4
chr2	-	PAX8
chr2	+	CBWD2
chr2	+	FOXD4L1
chr2	+	RABL2A
chr2	-	SLC35F5
chr2	+	ACTR3
chr2	+	DPP10
chr2	+	DDX18
chr2	-	CCDC93
chr2	+	INSIG2
chr2	-	EN1
chr2	+	MARCO
chr2	-	C1QL2
chr2	+	STEAP3
chr2	-	C2orf76
chr2	+	DBI
chr2	+	TMEM37
chr2	-	SCTR
chr2	+	CFAP221
chr2	+	TMEM177
chr2	+	PTPN4
chr2	+	EPB41L5
chr2	-	TMEM185B
chr2	+	RALB
chr2	+	LOC105373989
chr2	+	INHBB
chr2	+	GLI2
chr2	-	TFCP2L1
chr2	-	CLASP1
chr2	-	NIFK
chr2	+	TSN
chr2	+	CNTNAP5
chr2	+	GYPC
chr2	+	TEX51
chr2	-	BIN1
chr2	-	CYP27C1
chr2	-	ERCC3
chr2	-	MAP3K2
chr2	+	PROC
chr2	-	IWS1
chr2	+	MYO7B
chr2	-	LIMS2
chr2	+	GPR17
chr2	-	WDR33
chr2	+	SFT2D3
chr2	-	POLR2D
chr2	-	AMMECR1L
chr2	-	SAP130
chr2	+	UGGT1
chr2	-	HS6ST1
chr2	+	RAB6C
chr2	-	POTEF
chr2	-	CCDC74B
chr2	-	SMPD4
chr2	+	MZT2B
chr2	-	TUBA3E
chr2	-	CCDC115
chr2	+	IMP4
chr2	+	PTPN18
chr2	-	POTEI
chr2	+	CFC1B
chr2	-	LOC107985778
chr2	-	CFC1
chr2	+	POTEJ
chr2	+	GPR148
chr2	+	AMER3
chr2	+	ARHGEF4
chr2	-	FAM168B
chr2	+	PLEKHB2
chr2	+	POTEE
chr2	-	RAB6D
chr2	-	MZT2A
chr2	+	TUBA3D
chr2	+	CCDC74A
chr2	-	ANKRD30BL
chr2	+	ZNF806
chr2	+	GPR39
chr2	-	LYPD1
chr2	-	NCKAP5
chr2	+	MGAT5
chr2	-	TMEM163
chr2	+	ACMSD
chr2	+	CCNT2
chr2	-	MAP3K19
chr2	+	RAB3GAP1
chr2	-	ZRANB3
chr2	+	R3HDM1
chr2	+	UBXN4
chr2	-	LCT
chr2	-	MCM6
chr2	-	DARS1
chr2	-	CXCR4
chr2	+	THSD7B
chr2	+	HNMT
chr2	+	SPOPL
chr2	-	NXPH2
chr2	-	LRP1B
chr2	+	KYNU
chr2	+	ARHGAP15
chr2	-	GTDC1
chr2	-	ZEB2
chr2	+	ACVR2A
chr2	-	ORC4
chr2	+	MBD5
chr2	+	EPC2
chr2	+	KIF5C
chr2	+	LYPD6B
chr2	+	LYPD6
chr2	-	MMADHC
chr2	-	RND3
chr2	-	RBM43
chr2	-	NMI
chr2	+	TNFAIP6
chr2	+	RIF1
chr2	-	NEB
chr2	-	ARL5A
chr2	-	CACNB4
chr2	-	STAM2
chr2	+	FMNL2
chr2	-	PRPF40A
chr2	+	ARL6IP6
chr2	-	RPRM
chr2	+	GALNT13
chr2	+	KCNJ3
chr2	-	NR4A2
chr2	+	GPD2
chr2	+	GALNT5
chr2	-	ERMN
chr2	-	CYTIP
chr2	-	ACVR1C
chr2	-	ACVR1
chr2	+	UPP2
chr2	-	CCDC148
chr2	+	PKP4
chr2	+	DAPL1
chr2	+	TANC1
chr2	-	WDSUB1
chr2	-	BAZ2B
chr2	+	MARCHF7
chr2	-	LY75+LY75-CD302+CD302
chr2	-	PLA2R1
chr2	-	ITGB6
chr2	-	RBMS1
chr2	+	TANK
chr2	+	PSMD14
chr2	+	TBR1
chr2	+	SLC4A10
chr2	-	DPP4
chr2	-	GCG
chr2	-	FAP
chr2	-	IFIH1
chr2	+	GCA
chr2	-	KCNH7
chr2	-	FIGN
chr2	-	GRB14
chr2	-	COBLL1
chr2	-	SLC38A11
chr2	-	SCN3A
chr2	+	SCN2A
chr2	+	CSRNP3
chr2	-	GALNT3
chr2	-	TTC21B
chr2	-	SCN1A
chr2	-	SCN9A
chr2	-	SCN7A
chr2	+	XIRP2
chr2	+	B3GALT1
chr2	-	STK39
chr2	+	CERS6
